time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638568225.4232605,61.51814238179003,61.52239670795882,0,kth,0,229.1667456738312,18878.0,10.0,995.0,0.0,18199.0,0.1,0.054673333699653826,8.4,8.4,0,tth,0,-8.4
1638568226.5598433,61.56814238179001,61.57239670795883,0,kth,0,229.1167456738312,18674.0,9.0,956.0,0.0,18201.0,0.1,0.052524586561177956,8.5,8.5,0,tth,0,-8.5
1638568227.7036042,61.62414238179002,61.62239670795881,0,kth,0,229.0667456738312,18381.0,10.0,1035.0,0.0,18212.0,0.1,0.056830661102569735,8.6,8.600000000000001,0,tth,0,-8.600000000000001
1638568228.8696759,61.668142381790005,61.672396707958825,0,kth,0,229.0167456738312,18205.0,9.0,955.0,0.0,18190.0,0.1,0.05250137438152831,8.700000000000001,8.7,0,tth,0,-8.7
1638568229.988495,61.72414238179002,61.72239670795881,0,kth,0,228.9667456738312,18037.0,9.0,1023.0,0.0,18194.0,0.1,0.0562273276904474,8.8,8.8,0,tth,0,-8.8
1638568231.1474419,61.77014238179001,61.77239670795882,0,kth,0,228.9167456738312,17859.0,10.0,998.0,0.0,18192.0,0.1,0.054859278803869836,8.9,8.9,0,tth,0,-8.9
1638568232.3439925,61.81814238179001,61.82239670795883,0,kth,0,228.8667456738312,17592.0,10.0,1014.0,0.0,18185.0,0.1,0.05576024195765741,9.0,9.0,0,tth,0,-9.0
1638568233.481406,61.870142381790004,61.87239670795881,0,kth,0,228.8167456738312,17526.0,10.0,954.0,0.0,18207.0,0.1,0.05239742956005932,9.1,9.100000000000001,0,tth,0,-9.100000000000001
1638568234.6327746,61.918142381790005,61.922396707958825,0,kth,0,228.7667456738312,17345.0,9.0,940.0,0.0,18186.0,0.1,0.05168811173430111,9.200000000000001,9.2,0,tth,0,-9.2
1638568235.7876072,61.97214238179001,61.97239670795881,0,kth,0,228.7167456738312,17220.0,11.0,956.0,0.0,18187.0,0.1,0.05256501896959367,9.3,9.3,0,tth,0,-9.3
1638568237.1479375,62.02614238179001,62.02239670795882,0,kth,0,228.6667456738312,17179.0,9.0,973.0,0.0,18196.0,0.1,0.053473290833150146,9.4,9.4,0,tth,0,-9.4
1638568238.3679726,62.077142381790026,62.07239670795883,0,kth,0,228.6167456738312,16943.0,10.0,963.0,0.0,18170.0,0.1,0.05299944964226747,9.5,9.5,0,tth,0,-9.5
1638568239.5354939,62.11914238179003,62.12239670795881,0,kth,0,228.5667456738312,16842.0,10.0,947.0,0.0,18181.0,0.1,0.05208734393047687,9.6,9.600000000000001,0,tth,0,-9.600000000000001
1638568240.6497056,62.16914238179001,62.172396707958825,0,kth,0,228.5167456738312,16771.0,9.0,938.0,0.0,18183.0,0.1,0.051586646867953584,9.700000000000001,9.7,0,tth,0,-9.7
1638568241.8345668,62.220142381790026,62.22239670795881,0,kth,0,228.4667456738312,16712.0,10.0,912.0,0.0,18189.0,0.1,0.050140194623123864,9.8,9.8,0,tth,0,-9.8
1638568243.0409367,62.271142381790014,62.27239670795882,0,kth,0,228.4167456738312,16547.0,8.0,874.0,0.0,18176.0,0.1,0.048085387323943664,9.9,9.9,0,tth,0,-9.9
1638568244.1940117,62.321142381790025,62.32239670795883,0,kth,0,228.3667456738312,16507.0,10.0,857.0,0.0,18178.0,0.1,0.04714490042909011,10.0,10.0,0,tth,0,-10.0
1638568245.357965,62.370142381790004,62.37239670795881,0,kth,0,228.3167456738312,16425.0,10.0,824.0,0.0,18164.0,0.1,0.04536445716802467,10.1,10.1,0,tth,0,-10.1
1638568246.5020387,62.418142381790005,62.422396707958825,0,kth,0,228.2667456738312,16267.0,9.0,787.0,0.0,18190.0,0.1,0.043265530511269926,10.200000000000001,10.200000000000001,0,tth,0,-10.200000000000001
1638568247.6304452,62.46814238179002,62.47239670795881,0,kth,0,228.2167456738312,16293.0,10.0,754.0,0.0,18172.0,0.1,0.04149240589918556,10.3,10.3,0,tth,0,-10.3
1638568248.7590168,62.527142381790014,62.52239670795882,0,kth,0,228.1667456738312,16046.0,9.0,735.0,0.0,18151.0,0.1,0.04049363671423062,10.4,10.4,0,tth,0,-10.4
1638568250.0415769,62.569142381790016,62.57239670795883,0,kth,0,228.1167456738312,16028.0,9.0,692.0,0.0,18177.0,0.1,0.03807008857347197,10.5,10.5,0,tth,0,-10.5
1638568251.3414466,62.61814238179002,62.62239670795881,0,kth,0,228.0667456738312,15982.0,10.0,655.0,0.0,18169.0,0.1,0.036050415542957785,10.6,10.6,0,tth,0,-10.6
1638568252.8161652,62.67714238179002,62.672396707958825,0,kth,0,228.0167456738312,15792.0,10.0,629.0,0.0,18162.0,0.1,0.034632749697169916,10.700000000000001,10.700000000000001,0,tth,0,-10.700000000000001
1638568254.0287547,62.71914238179002,62.72239670795881,0,kth,0,227.9667456738312,15704.0,9.0,583.0,0.0,18173.0,0.1,0.032080559071149505,10.8,10.8,0,tth,0,-10.8
1638568255.128885,62.77414238179003,62.77239670795882,0,kth,0,227.9167456738312,15619.0,9.0,549.0,0.0,18165.0,0.1,0.03022295623451693,10.9,10.9,0,tth,0,-10.9
1638568256.2690666,62.81814238179001,62.82239670795883,0,kth,0,227.8667456738312,15449.0,9.0,534.0,0.0,18160.0,0.1,0.029405286343612336,11.0,11.0,0,tth,0,-11.0
1638568257.4002442,62.86914238179003,62.87239670795881,0,kth,0,227.8167456738312,15448.0,10.0,481.0,0.0,18169.0,0.1,0.026473663933072815,11.1,11.1,0,tth,0,-11.1
1638568258.5043514,62.918142381790005,62.922396707958825,0,kth,0,227.7667456738312,15285.0,9.0,445.0,0.0,18179.0,0.1,0.02447879421310303,11.200000000000001,11.200000000000001,0,tth,0,-11.200000000000001
1638568259.660987,62.97214238179001,62.97239670795881,0,kth,0,227.7167456738312,15051.0,10.0,415.0,0.0,18159.0,0.1,0.022853681370119498,11.3,11.3,0,tth,0,-11.3
1638568260.8578644,63.025142381790005,63.02239670795882,0,kth,0,227.6667456738312,15057.0,9.0,384.0,0.0,18154.0,0.1,0.021152363115566817,11.4,11.4,0,tth,0,-11.4
1638568262.0146632,63.07214238179,63.07239670795883,0,kth,0,227.6167456738312,14916.0,9.0,352.0,0.0,18178.0,0.1,0.01936406645395533,11.5,11.5,0,tth,0,-11.5
1638568263.1752594,63.120142381790004,63.12239670795881,0,kth,0,227.5667456738312,14886.0,9.0,323.0,0.0,18148.0,0.1,0.01779810447432224,11.6,11.600000000000001,0,tth,0,-11.600000000000001
1638568264.334594,63.168142381790005,63.172396707958825,0,kth,0,227.5167456738312,14726.0,10.0,299.0,0.0,18148.0,0.1,0.0164756446991404,11.700000000000001,11.700000000000001,0,tth,0,-11.700000000000001
1638568265.4828887,63.21814238179002,63.22239670795881,0,kth,0,227.4667456738312,14572.0,9.0,275.0,0.0,18196.0,0.1,0.015113211694877995,11.8,11.8,0,tth,0,-11.8
1638568266.644827,63.26814238179003,63.27239670795882,0,kth,0,227.4167456738312,14652.0,10.0,251.0,0.0,18175.0,0.1,0.013810178817056396,11.9,11.9,0,tth,0,-11.9
1638568268.209315,63.327142381790026,63.32239670795883,0,kth,0,227.3667456738312,14429.0,10.0,249.0,0.0,18176.0,0.1,0.013699383802816902,12.0,12.0,0,tth,0,-12.0
