time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638655149.1454663,0.07915619627033461,61.37114238179001,61.37239670795881,0,kth,0,229.3167456738312,4776.0,9.0,1197.0,0.0,15122.0,0.1,8.1,8.100000000000001,0,tth,0,-8.100000000000001,4098.215,4098.305555555556,0,x,0,4098.305555555556
1638655150.4381213,0.11807531934608512,61.42314238179003,61.422396707958825,0,kth,0,229.2667456738312,4683.0,9.0,1784.0,0.0,15109.0,0.1,8.2,8.2,0,tth,0,-8.2,4093.26,4093.277777777778,0,x,0,4093.277777777778
1638655151.6705818,0.10410886510767604,61.46914238179002,61.47239670795881,0,kth,0,229.2167456738312,4647.0,10.0,1576.0,0.0,15138.0,0.1,8.3,8.3,0,tth,0,-8.3,4088.243,4088.25,0,x,0,4088.25
1638655153.219113,0.2867068087077351,61.533142381790014,61.52239670795882,0,kth,0,229.1667456738312,4772.0,10.0,4333.0,0.0,15113.0,0.1,8.4,8.4,0,tth,0,-8.4,4086.069,4083.222222222222,0,x,0,4083.222222222222
1638655154.4140952,0.17537362782700702,61.56814238179001,61.57239670795883,0,kth,0,229.1167456738312,4632.0,9.0,2652.0,0.0,15122.0,0.1,8.5,8.5,0,tth,0,-8.5,4078.27,4078.1944444444443,0,x,0,4078.1944444444443
1638655155.7643428,0.2134118113881357,61.620142381790004,61.62239670795881,0,kth,0,229.0667456738312,4834.0,9.0,3227.0,0.0,15121.0,0.1,8.6,8.600000000000001,0,tth,0,-8.600000000000001,4073.179,4073.1666666666665,0,x,0,4073.1666666666665
1638655157.285444,0.20087365146601363,61.668142381790005,61.672396707958825,0,kth,0,229.0167456738312,4909.0,10.0,3035.0,0.0,15109.0,0.1,8.700000000000001,8.7,0,tth,0,-8.7,4068.094,4068.1388888888887,0,x,0,4068.1388888888887
1638655159.0089433,0.2873502349904018,61.72714238179,61.72239670795881,0,kth,0,228.9667456738312,5032.0,10.0,4341.0,0.0,15107.0,0.1,8.8,8.8,0,tth,0,-8.8,4064.571,4063.1111111111113,0,x,0,4063.1111111111113
1638655160.5804255,0.2155178111162514,61.77014238179001,61.77239670795882,0,kth,0,228.9167456738312,5016.0,9.0,3261.0,0.0,15131.0,0.1,8.9,8.9,0,tth,0,-8.9,4060.83,4058.0833333333335,0,x,0,4058.0833333333335
1638655162.152249,0.19705999205403257,61.82214238179,61.82239670795883,0,kth,0,228.8667456738312,5080.0,10.0,2976.0,0.0,15102.0,0.1,9.0,9.0,0,tth,0,-9.0,4055.811,4053.0555555555557,0,x,0,4053.0555555555557
1638655163.742908,0.1676813128639492,61.87314238179002,61.87239670795881,0,kth,0,228.8167456738312,5004.0,10.0,2534.0,0.0,15112.0,0.1,9.1,9.100000000000001,0,tth,0,-9.100000000000001,4050.779,4048.027777777778,0,x,0,4048.027777777778
1638655165.407345,0.12180122991469947,61.922142381790025,61.922396707958825,0,kth,0,228.7667456738312,4978.0,9.0,1842.0,0.0,15123.0,0.1,9.200000000000001,9.2,0,tth,0,-9.2,4045.672,4043.0,0,x,0,4043.0
1638655167.0592873,0.09131270293552449,61.97314238179001,61.97239670795881,0,kth,0,228.7167456738312,4916.0,9.0,1378.0,0.0,15091.0,0.1,9.3,9.3,0,tth,0,-9.3,4040.2380000000003,4037.972222222222,0,x,0,4037.972222222222
1638655168.45387,0.0619041313559322,62.019142381790004,62.02239670795882,0,kth,0,228.6667456738312,4791.0,10.0,935.0,0.0,15104.0,0.1,9.4,9.4,0,tth,0,-9.4,4032.962,4032.9444444444443,0,x,0,4032.9444444444443
1638655169.6546926,0.04903909874088801,62.071142381790025,62.07239670795883,0,kth,0,228.6167456738312,4754.0,10.0,740.0,0.0,15090.0,0.1,9.5,9.5,0,tth,0,-9.5,4028.031,4027.9166666666665,0,x,0,4027.9166666666665
1638655171.3304896,0.04904686258935663,62.12214238179001,62.12239670795881,0,kth,0,228.5667456738312,4608.0,10.0,741.0,0.0,15108.0,0.1,9.6,9.600000000000001,0,tth,0,-9.600000000000001,4025.571,4022.8888888888887,0,x,0,4022.8888888888887
1638655172.6055453,0.06023856858846918,62.174142381790006,62.172396707958825,0,kth,0,228.5167456738312,4712.0,9.0,909.0,0.0,15090.0,0.1,9.700000000000001,9.7,0,tth,0,-9.7,4017.828,4017.8611111111113,0,x,0,4017.8611111111113
1638655174.1084511,0.07365213935620613,62.22314238179001,62.22239670795881,0,kth,0,228.4667456738312,4644.0,9.0,1112.0,0.0,15098.0,0.1,9.8,9.8,0,tth,0,-9.8,4015.823,4012.8333333333335,0,x,0,4012.8333333333335
1638655175.4650178,0.08142847677731399,62.271142381790014,62.27239670795882,0,kth,0,228.4167456738312,4618.0,10.0,1229.0,0.0,15093.0,0.1,9.9,9.9,0,tth,0,-9.9,4007.815,4007.8055555555557,0,x,0,4007.8055555555557
1638655176.8424025,0.09855705586444267,62.32314238179001,62.32239670795883,0,kth,0,228.3667456738312,4640.0,9.0,1489.0,0.0,15108.0,0.1,10.0,10.0,0,tth,0,-10.0,4002.676,4002.777777777778,0,x,0,4002.777777777778
1638655178.061857,0.10030455508474577,62.36814238179002,62.37239670795881,0,kth,0,228.3167456738312,4734.0,9.0,1515.0,0.0,15104.0,0.1,10.1,10.1,0,tth,0,-10.1,3997.7000000000003,3997.75,0,x,0,3997.75
