time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638589563.6191754,989.999,990.0,0,z,0,990.0,21429.0,0.1
1638589563.9233196,999.9920000000001,1000.0,0,z,0,1000.0,21437.0,0.1
1638589564.221952,1009.987,1010.0,0,z,0,1010.0,21512.0,0.1
1638589564.5249956,1019.995,1020.0,0,z,0,1020.0,21520.0,0.1
1638589564.7786689,1029.991,1030.0,0,z,0,1030.0,21513.0,0.1
1638589565.0199587,1039.996,1040.0,0,z,0,1040.0,21515.0,0.1
1638589565.2775986,1049.989,1050.0,0,z,0,1050.0,21515.0,0.1
1638589565.5218253,1059.994,1060.0,0,z,0,1060.0,21560.0,0.1
1638589565.8787513,1070.001,1070.0,0,z,0,1070.0,21521.0,0.1
1638589566.1123426,1080.0,1080.0,0,z,0,1080.0,21509.0,0.1
1638589566.3533077,1090.0,1090.0,0,z,0,1090.0,21530.0,0.1
1638589566.5971916,1100.007,1100.0,0,z,0,1100.0,21546.0,0.1
1638589566.8487082,1109.998,1110.0,0,z,0,1110.0,21554.0,0.1
1638589567.1014893,1119.993,1120.0,0,z,0,1120.0,21555.0,0.1
1638589567.345587,1129.983,1130.0,0,z,0,1130.0,21559.0,0.1
1638589567.6477914,1139.999,1140.0,0,z,0,1140.0,21533.0,0.1
1638589567.9567246,1149.988,1150.0,0,z,0,1150.0,21563.0,0.1
1638589568.25572,1159.989,1160.0,0,z,0,1160.0,21523.0,0.1
1638589568.504076,1169.986,1170.0,0,z,0,1170.0,21577.0,0.1
1638589568.7490563,1179.997,1180.0,0,z,0,1180.0,21556.0,0.1
1638589568.994301,1189.9950000000001,1190.0,0,z,0,1190.0,21571.0,0.1
1638589569.238131,1200.005,1200.0,0,z,0,1200.0,21560.0,0.1
1638589569.4832993,1209.993,1210.0,0,z,0,1210.0,21526.0,0.1
1638589569.7263484,1219.996,1220.0,0,z,0,1220.0,21537.0,0.1
1638589569.9704523,1229.987,1230.0,0,z,0,1230.0,21533.0,0.1
1638589570.2155821,1239.983,1240.0,0,z,0,1240.0,21527.0,0.1
1638589570.5237782,1250.0,1250.0,0,z,0,1250.0,21570.0,0.1
