time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638564841.0303738,18737.0,9.0,194.0,0.0,20644.0,0.1,62.168142381790005,62.172396707958825,0,kth,0,228.5167456738312,9.700000000000001,9.7,0,tth,0,-9.7
1638564842.0522242,18443.0,10.0,192.0,0.0,20652.0,0.1,62.22214238179001,62.22239670795881,0,kth,0,228.4667456738312,9.8,9.8,0,tth,0,-9.8
1638564843.0324745,18357.0,9.0,187.0,0.0,20646.0,0.1,62.27214238179002,62.27239670795882,0,kth,0,228.4167456738312,9.9,9.9,0,tth,0,-9.9
1638564844.1723955,18146.0,10.0,182.0,0.0,20658.0,0.1,62.32614238179002,62.32239670795883,0,kth,0,228.3667456738312,10.0,10.0,0,tth,0,-10.0
1638564845.1745346,17990.0,10.0,168.0,0.0,20744.0,0.1,62.36814238179002,62.37239670795881,0,kth,0,228.3167456738312,10.1,10.1,0,tth,0,-10.1
1638564846.1676881,17943.0,10.0,161.0,0.0,20721.0,0.1,62.42314238179003,62.422396707958825,0,kth,0,228.2667456738312,10.200000000000001,10.200000000000001,0,tth,0,-10.200000000000001
1638564847.3972566,17750.0,10.0,149.0,0.0,20718.0,0.1,62.46814238179002,62.47239670795881,0,kth,0,228.2167456738312,10.3,10.3,0,tth,0,-10.3
1638564848.43943,17595.0,9.0,150.0,0.0,20713.0,0.1,62.525142381790005,62.52239670795882,0,kth,0,228.1667456738312,10.4,10.4,0,tth,0,-10.4
1638564849.6265192,17454.0,10.0,137.0,0.0,20727.0,0.1,62.56814238179001,62.57239670795883,0,kth,0,228.1167456738312,10.5,10.5,0,tth,0,-10.5
1638564850.671148,17311.0,10.0,131.0,0.0,20725.0,0.1,62.620142381790004,62.62239670795881,0,kth,0,228.0667456738312,10.6,10.6,0,tth,0,-10.6
1638564852.4110196,17069.0,10.0,125.0,0.0,20717.0,0.1,62.67714238179002,62.672396707958825,0,kth,0,228.0167456738312,10.700000000000001,10.700000000000001,0,tth,0,-10.700000000000001
1638564853.6506104,16907.0,10.0,117.0,0.0,20700.0,0.1,62.720142381790026,62.72239670795881,0,kth,0,227.9667456738312,10.8,10.8,0,tth,0,-10.8
1638564854.6765206,16648.0,10.0,114.0,0.0,20717.0,0.1,62.77614238179001,62.77239670795882,0,kth,0,227.9167456738312,10.9,10.9,0,tth,0,-10.9
1638564855.690844,16706.0,10.0,106.0,0.0,20731.0,0.1,62.81814238179001,62.82239670795883,0,kth,0,227.8667456738312,11.0,11.0,0,tth,0,-11.0
1638564856.6801713,16514.0,10.0,103.0,0.0,20725.0,0.1,62.87414238179002,62.87239670795881,0,kth,0,227.8167456738312,11.1,11.1,0,tth,0,-11.1
1638564857.6970322,16383.0,11.0,100.0,0.0,20735.0,0.1,62.926142381790015,62.922396707958825,0,kth,0,227.7667456738312,11.200000000000001,11.200000000000001,0,tth,0,-11.200000000000001
1638564858.8418465,16239.0,9.0,91.0,0.0,20716.0,0.1,62.96814238179002,62.97239670795881,0,kth,0,227.7167456738312,11.3,11.3,0,tth,0,-11.3
1638564859.8238835,15980.0,10.0,88.0,0.0,20724.0,0.1,63.019142381790004,63.02239670795882,0,kth,0,227.6667456738312,11.4,11.4,0,tth,0,-11.4
1638564860.8718448,15887.0,10.0,87.0,0.0,20714.0,0.1,63.07014238179002,63.07239670795883,0,kth,0,227.6167456738312,11.5,11.5,0,tth,0,-11.5
1638564861.8503158,15856.0,10.0,82.0,0.0,20718.0,0.1,63.11814238179002,63.12239670795881,0,kth,0,227.5667456738312,11.6,11.600000000000001,0,tth,0,-11.600000000000001
1638564862.9126246,15615.0,10.0,85.0,0.0,20711.0,0.1,63.17714238179002,63.172396707958825,0,kth,0,227.5167456738312,11.700000000000001,11.700000000000001,0,tth,0,-11.700000000000001
1638564863.9158876,15534.0,10.0,80.0,0.0,20715.0,0.1,63.21914238179002,63.22239670795881,0,kth,0,227.4667456738312,11.8,11.8,0,tth,0,-11.8
1638564865.0006897,15419.0,10.0,81.0,0.0,20711.0,0.1,63.275142381790005,63.27239670795882,0,kth,0,227.4167456738312,11.9,11.9,0,tth,0,-11.9
1638564865.9894755,15211.0,10.0,78.0,0.0,20692.0,0.1,63.32214238179,63.32239670795883,0,kth,0,227.3667456738312,12.0,12.0,0,tth,0,-12.0
