time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638517433.7086306,1.9352499495144204,105415.0,54471.0,1.0,553.0,552.991563
1638517437.7101884,1.9395206757283145,94604.0,48777.0,1.0,553.5,553.510831
1638517441.7084358,1.941230719572084,84197.0,43373.0,1.0,554.0,553.9959154
1638517445.7138782,1.947162123829908,75509.0,38779.0,1.0,554.5,554.51377
1638517449.7147207,1.9526616857342984,66906.0,34264.0,1.0,555.0,554.9933964
1638517453.9180214,1.958161658794761,58457.0,29853.0,1.0,555.5,555.5021561
1638517457.9150603,1.9689119170984455,52060.0,26441.0,1.0,556.0,555.9988901
1638517461.9176254,1.9713138016853686,45149.0,22903.0,1.0,556.5,556.4743117
1638517465.9189022,1.989536185331192,40879.0,20547.0,1.0,557.0,557.0287728
1638517469.92403,1.9928858986378426,36137.0,18133.0,1.0,557.5,557.4834934
1638517473.9253416,1.9997528270407217,32362.0,16183.0,1.0,558.0,558.0064421
1638517477.9240377,2.012336423118866,29525.0,14672.0,1.0,558.5,558.498197
1638517481.9273756,2.0229928100659076,27011.0,13352.0,1.0,559.0,559.0015041
1638517485.9289947,2.0208785031719265,25166.0,12453.0,1.0,559.5,559.5192957
1638517489.9331405,2.0357911038458227,23662.0,11623.0,1.0,560.0,559.9870123
