time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638738995.5962954,-1492.817,-1492.8709677419356,0,x,0,-1492.8709677419356,0.013534380961031883,70.87714238179001,70.8770996027763,0,kth,0,219.81204277901372,26.8,26.8,0,tth,0,-26.8,16135.0,10.0,149.0,0.0,11009.0,0.1
1638738996.8282688,-1497.847,-1497.8870967741937,0,x,0,-1497.8870967741937,0.013272727272727273,70.92614238179002,70.92709960277631,0,kth,0,219.7620427790137,26.900000000000002,26.900000000000002,0,tth,0,-26.900000000000002,16057.0,9.0,146.0,0.0,11000.0,0.1
1638738998.0667024,-1502.892,-1502.9032258064517,0,x,0,-1502.9032258064517,0.01335635108122842,70.97614238179003,70.97709960277629,0,kth,0,219.71204277901373,27.0,27.0,0,tth,0,-27.0,15865.0,10.0,147.0,0.0,11006.0,0.1
1638738999.2297478,-1507.897,-1507.9193548387098,0,x,0,-1507.9193548387098,0.013284804367606916,71.02814238179002,71.02709960277627,0,kth,0,219.66204277901375,27.1,27.1,0,tth,0,-27.1,15874.0,10.0,146.0,0.0,10990.0,0.1
1638739000.4399865,-1512.81,-1512.9354838709678,0,x,0,-1512.9354838709678,0.012902053425404325,71.07314238179,71.07709960277629,0,kth,0,219.61204277901373,27.2,27.2,0,tth,0,-27.2,15837.0,9.0,142.0,0.0,11006.0,0.1
1638739001.7503395,-1517.923,-1517.9516129032259,0,x,0,-1517.9516129032259,0.012349042041224008,71.12214238179001,71.1270996027763,0,kth,0,219.56204277901372,27.3,27.3,0,tth,0,-27.3,15815.0,10.0,136.0,0.0,11013.0,0.1
1638739002.9607506,-1522.949,-1522.967741935484,0,x,0,-1522.967741935484,0.01227830832196453,71.17414238179,71.17709960277631,0,kth,0,219.5120427790137,27.400000000000002,27.400000000000002,0,tth,0,-27.400000000000002,15752.0,10.0,135.0,0.0,10995.0,0.1
1638739004.1305566,-1527.988,-1527.983870967742,0,x,0,-1527.983870967742,0.012012012012012012,71.22714238179,71.22709960277629,0,kth,0,219.46204277901373,27.5,27.5,0,tth,0,-27.5,15650.0,11.0,132.0,0.0,10989.0,0.1
1638739005.352184,-1532.992,-1533.0,0,x,0,-1533.0,0.011822480902146234,71.27414238179003,71.27709960277627,0,kth,0,219.41204277901375,27.6,27.6,0,tth,0,-27.6,15582.0,11.0,130.0,0.0,10996.0,0.1
1638739006.5164523,-1538.02,-1538.016129032258,0,x,0,-1538.016129032258,0.011550704865848112,71.32614238179002,71.32709960277629,0,kth,0,219.36204277901373,27.7,27.7,0,tth,0,-27.7,15509.0,10.0,127.0,0.0,10995.0,0.1
1638739007.7435818,-1542.991,-1543.032258064516,0,x,0,-1543.032258064516,0.011384335154826957,71.38014238179002,71.3770996027763,0,kth,0,219.31204277901372,27.8,27.8,0,tth,0,-27.8,15649.0,10.0,125.0,0.0,10980.0,0.1
1638739008.958682,-1548.082,-1548.0483870967741,0,x,0,-1548.0483870967741,0.01105673373210078,71.42214238179002,71.42709960277631,0,kth,0,219.2620427790137,27.900000000000002,27.900000000000002,0,tth,0,-27.900000000000002,15506.0,10.0,122.0,0.0,11034.0,0.1
1638739010.242079,-1553.038,-1553.0645161290322,0,x,0,-1553.0645161290322,0.011047722539165082,71.48014238179002,71.47709960277629,0,kth,0,219.21204277901373,28.0,28.0,0,tth,0,-28.0,15545.0,10.0,122.0,0.0,11043.0,0.1
1638739011.4020119,-1558.07,-1558.0806451612902,0,x,0,-1558.0806451612902,0.011424426511923111,71.52914238179002,71.52709960277627,0,kth,0,219.16204277901375,28.1,28.1,0,tth,0,-28.1,15517.0,11.0,126.0,0.0,11029.0,0.1
1638739012.5868356,-1563.107,-1563.0967741935485,0,x,0,-1563.0967741935485,0.01134095445472691,71.58014238179001,71.57709960277629,0,kth,0,219.11204277901373,28.2,28.200000000000003,0,tth,0,-28.200000000000003,15392.0,9.0,125.0,0.0,11022.0,0.1
1638739013.824984,-1568.093,-1568.1129032258066,0,x,0,-1568.1129032258066,0.011051725699791648,71.62514238179003,71.6270996027763,0,kth,0,219.06204277901372,28.3,28.3,0,tth,0,-28.3,15356.0,10.0,122.0,0.0,11039.0,0.1
1638739015.113908,-1573.123,-1573.1290322580646,0,x,0,-1573.1290322580646,0.01115140525838622,71.67314238179003,71.67709960277631,0,kth,0,219.0120427790137,28.400000000000002,28.400000000000002,0,tth,0,-28.400000000000002,15363.0,9.0,123.0,0.0,11030.0,0.1
1638739016.4309256,-1578.113,-1578.1451612903227,0,x,0,-1578.1451612903227,0.010598786121931334,71.72614238179003,71.72709960277629,0,kth,0,218.96204277901373,28.5,28.5,0,tth,0,-28.5,15354.0,10.0,117.0,0.0,11039.0,0.1
1638739017.669146,-1583.1200000000001,-1583.1612903225807,0,x,0,-1583.1612903225807,0.010435571687840291,71.77914238179002,71.77709960277627,0,kth,0,218.91204277901375,28.6,28.6,0,tth,0,-28.6,15298.0,10.0,115.0,0.0,11020.0,0.1
1638739018.8862617,-1588.083,-1588.1774193548388,0,x,0,-1588.1774193548388,0.010153204605203517,71.82514238179002,71.82709960277629,0,kth,0,218.86204277901373,28.7,28.700000000000003,0,tth,0,-28.700000000000003,15198.0,10.0,112.0,0.0,11031.0,0.1
1638739020.1570137,-1593.172,-1593.1935483870968,0,x,0,-1593.1935483870968,0.010069853941758142,71.88114238179003,71.8770996027763,0,kth,0,218.81204277901372,28.8,28.8,0,tth,0,-28.8,15094.0,10.0,111.0,0.0,11023.0,0.1
1638739021.415404,-1598.209,-1598.2096774193549,0,x,0,-1598.2096774193549,0.009715790429492418,71.92314238179003,71.92709960277631,0,kth,0,218.7620427790137,28.900000000000002,28.900000000000002,0,tth,0,-28.900000000000002,15048.0,11.0,107.0,0.0,11013.0,0.1
1638739022.6481953,-1603.2,-1603.2258064516132,0,x,0,-1603.2258064516132,0.010086324398000909,71.98014238179002,71.97709960277629,0,kth,0,218.71204277901373,29.0,29.0,0,tth,0,-29.0,15030.0,10.0,111.0,0.0,11005.0,0.1
