time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577242.0248637,0.6689309576837417,72.12214238179001,72.12239670795881,0,kth,0,218.5667456738312,3882.0,10.0,12014.0,0.0,17960.0,0.1,29.6,29.6,0,tth,0,-29.6
1638577242.6533554,0.6638632059708143,72.17714238179002,72.1723967079588,0,kth,0,218.51674567383122,3745.0,9.0,11919.0,0.0,17954.0,0.1,29.7,29.7,0,tth,0,-29.7
1638577243.298186,0.6420619015809397,72.22014238179003,72.22239670795881,0,kth,0,218.4667456738312,3836.0,10.0,11534.0,0.0,17964.0,0.1,29.8,29.8,0,tth,0,-29.8
1638577244.5278971,0.6292729094755595,72.27614238179001,72.27239670795882,0,kth,0,218.4167456738312,3646.0,9.0,11303.0,0.0,17962.0,0.1,29.900000000000002,29.9,0,tth,0,-29.9
1638577245.516052,0.6033329617656894,72.31914238179002,72.32239670795883,0,kth,0,218.3667456738312,3788.0,10.0,10825.0,0.0,17942.0,0.1,30.0,30.0,0,tth,0,-30.0
1638577246.621733,0.6028183134677509,72.37614238179,72.37239670795881,0,kth,0,218.3167456738312,3763.0,9.0,10823.0,0.0,17954.0,0.1,30.1,30.1,0,tth,0,-30.1
1638577247.3509305,0.5955431754874652,72.42714238179002,72.4223967079588,0,kth,0,218.26674567383122,3675.0,10.0,10690.0,0.0,17950.0,0.1,30.2,30.2,0,tth,0,-30.2
1638577247.9779887,0.5874909415240538,72.47514238179002,72.47239670795881,0,kth,0,218.2167456738312,3656.0,10.0,10539.0,0.0,17939.0,0.1,30.3,30.3,0,tth,0,-30.3
1638577248.655126,0.5737531345778768,72.51914238179,72.52239670795882,0,kth,0,218.1667456738312,3741.0,9.0,10296.0,0.0,17945.0,0.1,30.400000000000002,30.4,0,tth,0,-30.4
1638577249.341952,0.5577201380385172,72.56914238179002,72.57239670795883,0,kth,0,218.1167456738312,3716.0,10.0,10020.0,0.0,17966.0,0.1,30.5,30.5,0,tth,0,-30.5
1638577250.008987,0.5482363413819962,72.61814238179002,72.62239670795881,0,kth,0,218.0667456738312,3671.0,10.0,9854.0,0.0,17974.0,0.1,30.6,30.6,0,tth,0,-30.6
